,Unnamed: 0,country_a,country_b,similarity,country_a_name,country_b_name
112,112,dk,ie,0.3257775434897206,Denmark,Ireland
113,113,dk,pa,0.12263668880940215,Denmark,Panama
114,114,dk,sg,0.2585227272727273,Denmark,Singapore
115,115,dk,vn,0.18177000529941706,Denmark,Vietnam
116,116,dk,br,0.09496919917864476,Denmark,Brazil
117,117,dk,de,0.19352193521935215,Denmark,Germany
118,118,dk,gb,0.29385530227948464,Denmark,United Kingdom
119,119,dk,il,0.24814603536794064,Denmark,Israel
120,120,dk,mt,0.3200836820083682,Denmark,Malta
121,121,dk,pe,0.047839506172839504,Denmark,Peru
122,122,dk,sk,0.29275505174963035,Denmark,Slovakia
123,123,dk,global,0.3126588713777326,Denmark,Global
124,124,gr,ca,0.4898074745186863,Greece,Canada
125,125,gr,dk,0.2903711133400201,Greece,Denmark
126,126,gr,gr,1.0,Greece,Greece
127,127,gr,is,0.2978402812656956,Greece,Iceland
128,128,gr,mx,0.11098591549295776,Greece,Mexico
129,129,gr,ph,0.2346813725490196,Greece,Philippines
130,130,gr,sv,0.14132278123233466,Greece,El Salvador
131,131,gr,ar,0.0916754478398314,Greece,Argentina
132,132,gr,ch,0.27676240208877284,Greece,Switzerland
133,133,gr,do,0.12037519541427827,Greece,Dominican Republic
134,134,gr,gt,0.12180532898314303,Greece,Guatemala
135,135,gr,it,0.1369674759505268,Greece,Italy
136,136,gr,my,0.28212450028555114,Greece,Malaysia
137,137,gr,pl,0.2561728395061729,Greece,Poland
138,138,gr,th,0.1936619718309859,Greece,Thailand
139,139,gr,at,0.2582137899120777,Greece,Austria
140,140,gr,cl,0.07053941908713693,Greece,Chile
141,141,gr,ec,0.08724100327153762,Greece,Ecuador
142,142,gr,hk,0.3169302870533099,Greece,Hong Kong
143,143,gr,jp,0.15737363210005212,Greece,Japan
144,144,gr,ni,0.10544384502206963,Greece,Nicaragua
145,145,gr,pt,0.4048507462686567,Greece,Portugal
146,146,gr,tr,0.10492505353319058,Greece,Turkey
147,147,gr,au,0.4196319018404908,Greece,Australia
148,148,gr,co,0.09775641025641026,Greece,Colombia
149,149,gr,ee,0.4564719358533792,Greece,Estonia
150,150,gr,hn,0.1427768409218662,Greece,Honduras
151,151,gr,lt,0.4845005740528129,Greece,Lithuania
152,152,gr,nl,0.23598026020637056,Greece,Netherlands
153,153,gr,py,0.08025682182985554,Greece,Paraguay
154,154,gr,tw,0.2306963524396021,Greece,Taiwan
155,155,gr,be,0.3440082644628099,Greece,Belgium
156,156,gr,cr,0.1685330347144457,Greece,Costa Rica
157,157,gr,es,0.1425037110341415,Greece,Spain
158,158,gr,hu,0.46098439375750294,Greece,Hungary
159,159,gr,lu,0.3864306784660767,Greece,Luxembourg
160,160,gr,no,0.35714285714285715,Greece,Norway
161,161,gr,ro,0.5658816040738384,Greece,Romania
162,162,gr,us,0.421923474663909,Greece,United States
163,163,gr,bg,0.5324675324675324,Greece,Bulgaria
164,164,gr,cy,0.6692524682651622,Greece,Cyprus
165,165,gr,fi,0.24966681474900046,Greece,Finland
166,166,gr,id,0.18219584569732936,Greece,Indonesia
167,167,gr,lv,0.4726516052318668,Greece,Latvia
168,168,gr,nz,0.40717821782178215,Greece,New Zealand
169,169,gr,se,0.2583295298950251,Greece,Sweden
170,170,gr,uy,0.08462694041061593,Greece,Uruguay
171,171,gr,bo,0.1038961038961039,Greece,Bolivia
172,172,gr,cz,0.3722750139742873,Greece,Czech Republic
173,173,gr,fr,0.1167066346922462,Greece,France
174,174,gr,ie,0.4018161180476731,Greece,Ireland
175,175,gr,pa,0.14773333333333333,Greece,Panama
176,176,gr,sg,0.3072289156626506,Greece,Singapore
177,177,gr,vn,0.2379603399433428,Greece,Vietnam
178,178,gr,br,0.11478910838227442,Greece,Brazil
179,179,gr,de,0.21235194585448391,Greece,Germany
180,180,gr,gb,0.3699946609717032,Greece,United Kingdom
181,181,gr,il,0.3294044665012407,Greece,Israel
182,182,gr,mt,0.4616745283018868,Greece,Malta
183,183,gr,pe,0.06809651474530831,Greece,Peru
184,184,gr,sk,0.43222222222222223,Greece,Slovakia
185,185,gr,global,0.488849765258216,Greece,Global
186,186,is,ca,0.3210422812192724,Iceland,Canada
187,187,is,dk,0.2519047619047619,Iceland,Denmark
188,188,is,gr,0.2978402812656956,Iceland,Greece
189,189,is,is,1.0,Iceland,Iceland
190,190,is,mx,0.08915145005370569,Iceland,Mexico
191,191,is,ph,0.16873589164785552,Iceland,Philippines
192,192,is,sv,0.10784837159636948,Iceland,El Salvador
193,193,is,ar,0.07042253521126761,Iceland,Argentina
194,194,is,ch,0.21495327102803735,Iceland,Switzerland
195,195,is,do,0.09805873568939773,Iceland,Dominican Republic
196,196,is,gt,0.09452479338842976,Iceland,Guatemala
197,197,is,it,0.11364633611232995,Iceland,Italy
198,198,is,my,0.2009394572025052,Iceland,Malaysia
199,199,is,pl,0.1912255603242728,Iceland,Poland
200,200,is,th,0.13398692810457516,Iceland,Thailand
201,201,is,at,0.19663648124191466,Iceland,Austria
202,202,is,cl,0.0531544957774466,Iceland,Chile
203,203,is,ec,0.06548856548856549,Iceland,Ecuador
204,204,is,hk,0.2274906766116143,Iceland,Hong Kong
205,205,is,jp,0.12333497779970402,Iceland,Japan
206,206,is,ni,0.07792813812412505,Iceland,Nicaragua
207,207,is,pt,0.2853970016657413,Iceland,Portugal
208,208,is,tr,0.08829568788501027,Iceland,Turkey
209,209,is,au,0.32254464285714285,Iceland,Australia
210,210,is,co,0.0764915859255482,Iceland,Colombia
211,211,is,ee,0.31995937023869986,Iceland,Estonia
212,212,is,hn,0.11711229946524065,Iceland,Honduras
213,213,is,lt,0.32298447671507263,Iceland,Lithuania
214,214,is,nl,0.20025619128949612,Iceland,Netherlands
215,215,is,py,0.0565173116089613,Iceland,Paraguay
216,216,is,tw,0.1686481726111845,Iceland,Taiwan
217,217,is,be,0.2514124293785311,Iceland,Belgium
218,218,is,cr,0.13326282390269698,Iceland,Costa Rica
219,219,is,es,0.11926171320397537,Iceland,Spain
220,220,is,hu,0.2935064935064935,Iceland,Hungary
221,221,is,lu,0.2591943957968476,Iceland,Luxembourg
222,222,is,no,0.2922173274596182,Iceland,Norway
223,223,is,ro,0.3172774869109948,Iceland,Romania
224,224,is,us,0.28656579550664835,Iceland,United States
225,225,is,bg,0.29682151589242056,Iceland,Bulgaria
226,226,is,cy,0.31756389342033714,Iceland,Cyprus
227,227,is,fi,0.2120828052386988,Iceland,Finland
228,228,is,id,0.13967723984418476,Iceland,Indonesia
229,229,is,lv,0.3268727082242012,Iceland,Latvia
230,230,is,nz,0.3344788087056128,Iceland,New Zealand
231,231,is,se,0.22570806100217866,Iceland,Sweden
232,232,is,uy,0.06929740134744948,Iceland,Uruguay
233,233,is,bo,0.07985574446161772,Iceland,Bolivia
234,234,is,cz,0.2605421686746988,Iceland,Czech Republic
235,235,is,fr,0.10208816705336426,Iceland,France
236,236,is,ie,0.31084587441619105,Iceland,Ireland
237,237,is,pa,0.12138141188420518,Iceland,Panama
238,238,is,sg,0.21572910977607865,Iceland,Singapore
239,239,is,vn,0.161139896373057,Iceland,Vietnam
240,240,is,br,0.09499489274770173,Iceland,Brazil
241,241,is,de,0.17114228456913827,Iceland,Germany
242,242,is,gb,0.2852941176470588,Iceland,United Kingdom
243,243,is,il,0.2444821731748727,Iceland,Israel
244,244,is,mt,0.3067010309278351,Iceland,Malta
245,245,is,pe,0.04757033248081841,Iceland,Peru
246,246,is,sk,0.2767813863305865,Iceland,Slovakia
247,247,is,global,0.3277009728622632,Iceland,Global
248,248,mx,ca,0.0984647961884595,Mexico,Canada
249,249,mx,dk,0.08616047388260635,Mexico,Denmark
250,250,mx,gr,0.11098591549295776,Mexico,Greece
251,251,mx,is,0.08915145005370569,Mexico,Iceland
252,252,mx,mx,1.0,Mexico,Mexico
253,253,mx,ph,0.11800766283524905,Mexico,Philippines
254,254,mx,sv,0.5714285714285714,Mexico,El Salvador
255,255,mx,ar,0.3908256880733945,Mexico,Argentina
256,256,mx,ch,0.10965935604293048,Mexico,Switzerland
257,257,mx,do,0.3497036409822185,Mexico,Dominican Republic
258,258,mx,gt,0.5584281282316442,Mexico,Guatemala
259,259,mx,it,0.11846689895470384,Mexico,Italy
260,260,mx,my,0.1133816743572841,Mexico,Malaysia
261,261,mx,pl,0.10227936879018118,Mexico,Poland
262,262,mx,th,0.0919471153846154,Mexico,Thailand
263,263,mx,at,0.08748114630467571,Mexico,Austria
