,Position,Track Name,Artist,Streams,date,region,id,date_from,date_to,valence
3079,80,Closer,The Chainsmokers,27678,2019-01-04--2019-01-11,hk,7BKLCZ1jbUBVqRi2FVlTVw,2019-01-04,2019-01-11,0.661
3080,81,心淡,Joey Yung,27414,2019-01-04--2019-01-11,hk,0Eum5dQqpUDgwJiUucG3QU,2019-01-04,2019-01-11,0.375
3081,82,囍帖街,Kay Tse,27341,2019-01-04--2019-01-11,hk,3hU9nGBhYJQwvF8BJ4PUcE,2019-01-04,2019-01-11,0.428
3082,83,All Falls Down (feat. Juliander),Alan Walker,27137,2019-01-04--2019-01-11,hk,1HvCFAUIWQsWV9zud3UhDl,2019-01-04,2019-01-11,0.675
3083,84,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,27092,2019-01-04--2019-01-11,hk,4hQ6UGyWQIGJmHSo0J88JW,2019-01-04,2019-01-11,0.508
3084,85,Love Someone,Lukas Graham,27017,2019-01-04--2019-01-11,hk,3id2EVGKc3eFAMn9nFnB0r,2019-01-04,2019-01-11,0.265
3085,86,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,26953,2019-01-04--2019-01-11,hk,4w8niZpiMy6qz1mntFA5uM,2019-01-04,2019-01-11,0.591
3086,87,戀無可戀,Leo Ku,26700,2019-01-04--2019-01-11,hk,4zVevFBE0Ub4WaUS91f9g1,2019-01-04,2019-01-11,0.367
3087,88,Fairy tale,Yoga Lin,26513,2019-01-04--2019-01-11,hk,5EXpL9orGpIsscSyBgPdSx,2019-01-04,2019-01-11,0.22
3088,89,DDU-DU DDU-DU - KR Ver.,BLACKPINK,26430,2019-01-04--2019-01-11,hk,2CWnuF7ht55Ajyeg4WPvWu,2019-01-04,2019-01-11,0.372
3089,90,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,26346,2019-01-04--2019-01-11,hk,1bkvGbgK4HU8B7Ue4k7O7I,2019-01-04,2019-01-11,0.238
3090,91,The Middle,Zedd,26293,2019-01-04--2019-01-11,hk,09IStsImFySgyp0pIQdqAc,2019-01-04,2019-01-11,0.437
3091,92,Faded,Alan Walker,26138,2019-01-04--2019-01-11,hk,698ItKASDavgwZ3WjaWjtz,2019-01-04,2019-01-11,0.159
3092,93,別來無恙,Jason Chan,26091,2019-01-04--2019-01-11,hk,2wgF570uODvVSxfd8o3eRf,2019-01-04,2019-01-11,0.51
3093,94,歲月如歌,Eason Chan,26085,2019-01-04--2019-01-11,hk,209lkexhDOdjGJMv9iw3rJ,2019-01-04,2019-01-11,0.453
3094,95,whoa (mind in awe),XXXTENTACION,25907,2019-01-04--2019-01-11,hk,7pdF27mSDuPWhppnHAmWHa,2019-01-04,2019-01-11,0.369
3095,96,若然冬天沒有花,梁釗峰,25866,2019-01-04--2019-01-11,hk,07JzFsUuuOW4eQR6d9iMXR,2019-01-04,2019-01-11,0.384
3096,97,no tears left to cry,Ariana Grande,25802,2019-01-04--2019-01-11,hk,2qT1uLXPVPzGgFOx4jtEuo,2019-01-04,2019-01-11,0.354
3097,98,最後晚餐,Supper Moment,25709,2019-01-04--2019-01-11,hk,71b8CQvcm070jgEypaevrV,2019-01-04,2019-01-11,0.449
3098,99,形影不離,Hins Cheung,25677,2019-01-04--2019-01-11,hk,3pNphaS9NbCKDI31Nt0fQC,2019-01-04,2019-01-11,0.298
3099,100,Lie To Me,5 Seconds of Summer,25506,2019-01-04--2019-01-11,hk,3567eNX2L3RkkMkwspncMH,2019-01-04,2019-01-11,0.692
3100,101,Photograph,Ed Sheeran,25338,2019-01-04--2019-01-11,hk,6fxVffaTuwjgEk5h9QyRjy,2019-01-04,2019-01-11,0.201
3101,102,羅生門,Juno Mak,25288,2019-01-04--2019-01-11,hk,7xAVLrbnud6OrU6f4FmxDr,2019-01-04,2019-01-11,0.253
3102,103,Wolves,Selena Gomez,25130,2019-01-04--2019-01-11,hk,0tBbt8CrmxbjRP0pueQkyU,2019-01-04,2019-01-11,0.305
3103,104,男朋友,Louis Koo,25111,2019-01-04--2019-01-11,hk,4HBOOGIvjHGOrdtEiFkN03,2019-01-04,2019-01-11,0.27
3104,105,困獸・28,Juno Mak,25086,2019-01-04--2019-01-11,hk,3HQKnHJRa1ismNUaip2vLp,2019-01-04,2019-01-11,0.405
3105,106,Say You Won't Let Go,James Arthur,25039,2019-01-04--2019-01-11,hk,5uCax9HTNlzGybIStD3vDh,2019-01-04,2019-01-11,0.494
3106,107,I'll Never Love Again - Film Version - Radio Edit,Lady Gaga,24558,2019-01-04--2019-01-11,hk,3DKpA54hrFIdPN6AtL9HXa,2019-01-04,2019-01-11,0.25
3107,108,如果雨之後,Eric Chou,24273,2019-01-04--2019-01-11,hk,6kabSi7XCHHGThNme6J2tL,2019-01-04,2019-01-11,0.445
3108,109,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,24239,2019-01-04--2019-01-11,hk,1ZLrDPgR7mvuTco3rQK8Pk,2019-01-04,2019-01-11,0.447
3109,110,monster,21 Savage,23956,2019-01-04--2019-01-11,hk,2FUNBaa5DwItJtYEBgAblU,2019-01-04,2019-01-11,0.224
3110,111,命硬,Justin Lo,23712,2019-01-04--2019-01-11,hk,47RgWWTJno746wCInL4gQz,2019-01-04,2019-01-11,0.333
3111,112,歲月靜好,Hins Cheung,23692,2019-01-04--2019-01-11,hk,3xNqmcJihjJX3EhN29HmOQ,2019-01-04,2019-01-11,0.172
3112,113,We Don't Talk Anymore,Charlie Puth,23517,2019-01-04--2019-01-11,hk,68EMU2RD1ECNeOeJ5qAXCV,2019-01-04,2019-01-11,0.352
3113,114,假以時日,Hins Cheung,23448,2019-01-04--2019-01-11,hk,1J5BddQdboGuo7WaumK5LD,2019-01-04,2019-01-11,0.22
3114,115,Head Above Water,Avril Lavigne,23434,2019-01-04--2019-01-11,hk,1N7YeVU0ZwAFbOhwM61ef6,2019-01-04,2019-01-11,0.268
3115,116,可惜我是水瓶座,Miriam Yeung,23274,2019-01-04--2019-01-11,hk,1sWUT5hSawhEctQEQrVQdn,2019-01-04,2019-01-11,0.543
3116,117,La Vie en Rose,IZ*ONE,23218,2019-01-04--2019-01-11,hk,1fRaznZsAB2i63TtmYv2Hc,2019-01-04,2019-01-11,0.606
3117,118,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""",Eric Chou,23186,2019-01-04--2019-01-11,hk,2gug6MRv4xQFYi9LA3PJCS,2019-01-04,2019-01-11,0.535
3118,119,必殺技 - Live,Leo Ku,23077,2019-01-04--2019-01-11,hk,7oPrKydZ1xLIFXzjHLUGE5,2019-01-04,2019-01-11,0.399
3119,120,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,23039,2019-01-04--2019-01-11,hk,4Uy3kNxW2kB8AEoXljEcth,2019-01-04,2019-01-11,0.674
3120,121,年少有為,Ronghao Li,23012,2019-01-04--2019-01-11,hk,6XY80Ofqd8j0SGiEdRLwCp,2019-01-04,2019-01-11,0.289
3121,122,可惜沒如果,JJ Lin,22992,2019-01-04--2019-01-11,hk,6WoQzK5Exbfcmow1AoNRkl,2019-01-04,2019-01-11,0.286
3122,123,慢慢喜歡你,Karen Mok,22827,2019-01-04--2019-01-11,hk,7EoyERNueJuFlQbyrRB0US,2019-01-04,2019-01-11,0.375
3123,124,Youngblood,5 Seconds of Summer,22772,2019-01-04--2019-01-11,hk,2iUXsYOEPhVqEBwsqP70rE,2019-01-04,2019-01-11,0.152
3124,125,長相廝守,ToNick,22610,2019-01-04--2019-01-11,hk,44TjgDPUGUqU3ylA8tBkVf,2019-01-04,2019-01-11,0.503
3125,126,體面(電影《前任3:再見前任》插曲),Kelly Yu,22454,2019-01-04--2019-01-11,hk,7cE5ehlKJ3L9Ejhzm3udcF,2019-01-04,2019-01-11,0.205
3126,127,不該,Jay Chou,22444,2019-01-04--2019-01-11,hk,7LyCtbxher5m97MImn5M3l,2019-01-04,2019-01-11,0.187
3127,128,Thinking out Loud,Ed Sheeran,22328,2019-01-04--2019-01-11,hk,1Slwb6dOYkBlWal1PGtnNg,2019-01-04,2019-01-11,0.591
3128,129,Too Good At Goodbyes,Sam Smith,22219,2019-01-04--2019-01-11,hk,1mXVgsBdtIVeCLJnSnmtdV,2019-01-04,2019-01-11,0.534
3129,130,Lemon,Kenshi Yonezu,22000,2019-01-04--2019-01-11,hk,35KlorpQ6LQVVslvlcu1gN,2019-01-04,2019-01-11,0.446
3130,131,我們 - 《後來的我們》電影主題曲,Eason Chan,21987,2019-01-04--2019-01-11,hk,0Uf0SvwUrf02ucIt1d0Wos,2019-01-04,2019-01-11,0.201
3131,132,I Like Me Better,Lauv,21741,2019-01-04--2019-01-11,hk,2P91MQbaiQOfbiz9VqhqKQ,2019-01-04,2019-01-11,0.419
3132,133,獨一無二,AGA,21707,2019-01-04--2019-01-11,hk,24L9JvI4WHMIG5RfjWkkqF,2019-01-04,2019-01-11,0.3
3133,134,Rewrite The Stars,Zac Efron,21649,2019-01-04--2019-01-11,hk,630sXRhIcfwr2e4RdNtjKN,2019-01-04,2019-01-11,0.284
3134,135,Attention,Charlie Puth,21556,2019-01-04--2019-01-11,hk,5cF0dROlMOK5uNZtivgu50,2019-01-04,2019-01-11,0.797
3135,136,Love Shot,EXO,21510,2019-01-04--2019-01-11,hk,33NAYATbWRoo5RuEP30JBZ,2019-01-04,2019-01-11,0.335
3136,137,FRIENDS,Marshmello,21471,2019-01-04--2019-01-11,hk,08bNPGLD8AhKpnnERrAc6G,2019-01-04,2019-01-11,0.534
3137,138,I'm a Mess,Bebe Rexha,21469,2019-01-04--2019-01-11,hk,04ZTP5KsCypmtCmQg5tH9R,2019-01-04,2019-01-11,0.216
3138,139,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,21393,2019-01-04--2019-01-11,hk,5Gu0PDLN4YJeW75PpBSg9p,2019-01-04,2019-01-11,0.742
3139,140,修煉愛情,JJ Lin,21360,2019-01-04--2019-01-11,hk,190kU2WKyIzx9XaBjfWRPk,2019-01-04,2019-01-11,0.239
3140,141,幸福之歌,Supper Moment,21308,2019-01-04--2019-01-11,hk,25atREPmk8jKg0WlI28bsV,2019-01-04,2019-01-11,0.397
3141,142,蠢,Eason Chan,21262,2019-01-04--2019-01-11,hk,1lMqxaW4kvYBPiuJUbwbXq,2019-01-04,2019-01-11,0.803
3142,143,IDGAF,Dua Lipa,21230,2019-01-04--2019-01-11,hk,76cy1WJvNGJTj78UqeA5zr,2019-01-04,2019-01-11,0.51
3143,144,Happy Now,Kygo,21136,2019-01-04--2019-01-11,hk,14sOS5L36385FJ3OL8hew4,2019-01-04,2019-01-11,0.492
3144,145,明年今日,Eason Chan,21131,2019-01-04--2019-01-11,hk,4UD5xrQI4nKftCje1y5Te9,2019-01-04,2019-01-11,0.214
3145,146,哪裡只得我共你,Dear Jane,20967,2019-01-04--2019-01-11,hk,6oHNXUrt4s5JJIM1WoOwsZ,2019-01-04,2019-01-11,0.284
3146,147,Solo (feat. Demi Lovato),Clean Bandit,20882,2019-01-04--2019-01-11,hk,3NuK5xMlSlB6K2Qp16zf3h,2019-01-04,2019-01-11,0.556
3147,148,時光機,Terence Siufay,20817,2019-01-04--2019-01-11,hk,53lFtfrl5Of2Hkr5eiNscQ,2019-01-04,2019-01-11,0.392
3148,149,與你常在,Eason Chan,20795,2019-01-04--2019-01-11,hk,3yBDri0oak1SaluzJ3BZu9,2019-01-04,2019-01-11,0.623
3149,150,Treat You Better,Shawn Mendes,20702,2019-01-04--2019-01-11,hk,3QGsuHI8jO1Rx4JWLUh9jd,2019-01-04,2019-01-11,0.747
3150,151,無盡,Supper Moment,20688,2019-01-04--2019-01-11,hk,6TNz79kvUVVQSM2EhZQVq8,2019-01-04,2019-01-11,0.526
3151,152,不為誰而作的歌,JJ Lin,20600,2019-01-04--2019-01-11,hk,0VqSdtXseb9khdZrnYVyM1,2019-01-04,2019-01-11,0.252
3152,153,Different World (feat. CORSAK),Alan Walker,20530,2019-01-04--2019-01-11,hk,4heFQCyiW0RUEX1Q1lb008,2019-01-04,2019-01-11,0.331
3153,154,breathin,Ariana Grande,20439,2019-01-04--2019-01-11,hk,4OafepJy2teCjYJbvFE60J,2019-01-04,2019-01-11,0.364
3154,155,大哥,Janice Vidal,20400,2019-01-04--2019-01-11,hk,2fzOOTi4YDXENpUCr1fiaW,2019-01-04,2019-01-11,0.392
3155,156,假使世界原來不像你預期,Charmaine Fong,20394,2019-01-04--2019-01-11,hk,53HxUdYRCRMdzYPG0qhGUP,2019-01-04,2019-01-11,0.347
3156,157,再不再見,C AllStar,20336,2019-01-04--2019-01-11,hk,1kcNUj4udKEFesxdclbh8n,2019-01-04,2019-01-11,0.341
3157,158,Let You Love Me,Rita Ora,20329,2019-01-04--2019-01-11,hk,5Fla3zyOCcIRqrDoKLU0DP,2019-01-04,2019-01-11,0.451
3158,159,你是你本身的傳奇,Charmaine Fong,20296,2019-01-04--2019-01-11,hk,5uMkdWf1H6JEcpcdnPOSZM,2019-01-04,2019-01-11,0.427
3159,160,白紙,Alfred Hui,20249,2019-01-04--2019-01-11,hk,6K9J4OOu5tlKK2xpAOcxPj,2019-01-04,2019-01-11,0.262
3160,161,大男孩,BOYZ,20218,2019-01-04--2019-01-11,hk,63dPmo7F3rEXmVAnrnBv43,2019-01-04,2019-01-11,0.585
3161,162,Project Dreams,Marshmello,20074,2019-01-04--2019-01-11,hk,0PowxVSTY2uh1CPc8EPKyX,2019-01-04,2019-01-11,0.791
3162,163,可一可再,Eason Chan,20050,2019-01-04--2019-01-11,hk,4hPBGtZisl600ivED9G6rd,2019-01-04,2019-01-11,0.566
3163,164,SAD!,XXXTENTACION,20044,2019-01-04--2019-01-11,hk,3ee8Jmje8o58CHK66QrVC2,2019-01-04,2019-01-11,0.473
3164,165,演員,Joker Xue,19949,2019-01-04--2019-01-11,hk,6LunoYd3xpZ19sICOXS8Xd,2019-01-04,2019-01-11,0.186
3165,166,男人背後,Pakho Chau,19886,2019-01-04--2019-01-11,hk,5fFsbYb2tewS0dvWKD9iVc,2019-01-04,2019-01-11,0.359
3166,167,分手總約在雨天,Charmaine Fong,19766,2019-01-04--2019-01-11,hk,4F58voptx3uo1bNiJ6i1P9,2019-01-04,2019-01-11,0.204
3167,168,倒數,G.E.M.,19626,2019-01-04--2019-01-11,hk,2HmM5p02Q2qrYZvXJRLVx3,2019-01-04,2019-01-11,0.204
3168,169,說好的幸福呢,Jay Chou,19476,2019-01-04--2019-01-11,hk,6W2tmkeuHKaedHhdTPnyVs,2019-01-04,2019-01-11,0.24
3169,170,她說,JJ Lin,19436,2019-01-04--2019-01-11,hk,632VyMrvhsHIsO4zq9khts,2019-01-04,2019-01-11,0.326
3170,171,Symphony (feat. Zara Larsson),Clean Bandit,19398,2019-01-04--2019-01-11,hk,72gv4zhNvRVdQA0eOenCal,2019-01-04,2019-01-11,0.454
3171,172,rockstar (feat. 21 Savage),Post Malone,19343,2019-01-04--2019-01-11,hk,0e7ipj03S05BNilyu5bRzt,2019-01-04,2019-01-11,0.14
3172,173,Calma - Remix,Pedro Capó,19282,2019-01-04--2019-01-11,hk,5iwz1NiezX7WWjnCgY5TH4,2019-01-04,2019-01-11,0.761
3173,174,伯利恆的主角,Janice Vidal,19125,2019-01-04--2019-01-11,hk,3Vm0pAA7O0XRK41TGcLoE5,2019-01-04,2019-01-11,0.436
3174,175,Lucid Dreams,Juice WRLD,19044,2019-01-04--2019-01-11,hk,285pBltuF7vW8TeWk8hdRR,2019-01-04,2019-01-11,0.218
3175,176,以後別做朋友,Eric Chou,18958,2019-01-04--2019-01-11,hk,7zyYmIdjqqiX6kLryb7QBx,2019-01-04,2019-01-11,0.291
3176,177,idontwannabeyouanymore,Billie Eilish,18773,2019-01-04--2019-01-11,hk,40T5GIqQ1CegGm2PTEl8Bu,2019-01-04,2019-01-11,0.247
3177,178,"一二三,三二一",Miriam Yeung,18711,2019-01-04--2019-01-11,hk,3JoZXONUxZISt6uey2Ehwr,2019-01-04,2019-01-11,0.274
3178,179,MIA (feat. Drake),Bad Bunny,18577,2019-01-04--2019-01-11,hk,116H0KvKr2Zl4RPuVBruDO,2019-01-04,2019-01-11,0.158
3179,180,經過一些秋與冬,Dear Jane,18518,2019-01-04--2019-01-11,hk,4pw59ml6lY3WnP90tfyDGP,2019-01-04,2019-01-11,0.352
3180,181,Best Part (feat. Daniel Caesar),H.E.R.,18495,2019-01-04--2019-01-11,hk,4OBZT9EnhYIV17t4pGw7ig,2019-01-04,2019-01-11,0.413
3181,182,時光如剪,JC 陳泳彤,18469,2019-01-04--2019-01-11,hk,0JOxXMlX9HdzZo9rydMRGf,2019-01-04,2019-01-11,0.348
3182,183,亂世情侶,Leo Ku,18434,2019-01-04--2019-01-11,hk,0n9AcvtAVZIhEfnZsBbELp,2019-01-04,2019-01-11,0.234
3183,184,A Thousand Years,Christina Perri,18401,2019-01-04--2019-01-11,hk,6lanRgr6wXibZr8KgzXxBl,2019-01-04,2019-01-11,0.161
3184,185,In My Blood,Shawn Mendes,18393,2019-01-04--2019-01-11,hk,2QZ7WLBE8h2y1Y5Fb8RYbH,2019-01-04,2019-01-11,0.487
3185,186,New Rules,Dua Lipa,18357,2019-01-04--2019-01-11,hk,2xJCMIJfcNYDc5iR0sAm2O,2019-01-04,2019-01-11,0.608
3186,187,不許你注定一人,Dear Jane,18318,2019-01-04--2019-01-11,hk,0B2fMb8KALZeoFbRv7m3iE,2019-01-04,2019-01-11,0.482
3187,188,What Lovers Do,Maroon 5,18300,2019-01-04--2019-01-11,hk,0WdGQhoAP2LBsqr5Jhit2g,2019-01-04,2019-01-11,0.419
3188,189,死性不改,Twins,18287,2019-01-04--2019-01-11,hk,7aMEBZUCJFyV4VM60yEHtC,2019-01-04,2019-01-11,0.395
3189,190,只是太愛你,Hins Cheung,18243,2019-01-04--2019-01-11,hk,0s5GrkSNp9bfP2FtrtbiJ0,2019-01-04,2019-01-11,0.334
3190,191,高山低谷,Phil Lam,18100,2019-01-04--2019-01-11,hk,75ZEiExjqAGBFmjlFPZPLY,2019-01-04,2019-01-11,0.353
3191,192,無賴,Ronald Cheng,18100,2019-01-04--2019-01-11,hk,1zAFaIAd1kek5IEi5AwPvL,2019-01-04,2019-01-11,0.551
3192,193,Someone You Loved,Lewis Capaldi,18086,2019-01-04--2019-01-11,hk,2TIlqbIneP0ZY1O0EzYLlc,2019-01-04,2019-01-11,0.446
3193,194,comethru,Jeremy Zucker,18074,2019-01-04--2019-01-11,hk,6fFTPGGItuEpjwXRUIr4rk,2019-01-04,2019-01-11,0.633
3194,195,Waste It On Me (feat. BTS),Steve Aoki,18068,2019-01-04--2019-01-11,hk,2J0X46UkpfLlWbuCXFgDLr,2019-01-04,2019-01-11,0.466
3195,196,Happy Now,Zedd,17971,2019-01-04--2019-01-11,hk,4keoy2fqgwGnbWlm3ZVZFa,2019-01-04,2019-01-11,0.458
3196,197,So Close,NOTD,17910,2019-01-04--2019-01-11,hk,7FjZU7XFs7P9jHI9Z0yRhK,2019-01-04,2019-01-11,0.761
3197,198,Wake Up in the Sky,Gucci Mane,17881,2019-01-04--2019-01-11,hk,2G1tXoGBaEMJ7FKGnkf6ud,2019-01-04,2019-01-11,0.367
3198,199,野孩子,Miriam Yeung,17863,2019-01-04--2019-01-11,hk,66YUHByAhvckqMtO9EkJ1J,2019-01-04,2019-01-11,0.52
3199,200,LOVE SCENARIO,iKON,17756,2019-01-04--2019-01-11,hk,6qAzAmPBUpGrk7XADZHR5k,2019-01-04,2019-01-11,0.746
3200,1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,108975,2019-01-11--2019-01-18,hk,3KkXRkHbMCARz0aVfEt68P,2019-01-11,2019-01-18,0.913
3201,2,"thank u, next",Ariana Grande,96726,2019-01-11--2019-01-18,hk,2rPE9A1vEgShuZxxzR2tZH,2019-01-11,2019-01-18,0.435
3202,3,Without Me,Halsey,85724,2019-01-11--2019-01-18,hk,5p7ujcrUXASCNwRaWNHR1C,2019-01-11,2019-01-18,0.533
3203,4,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,85072,2019-01-11--2019-01-18,hk,1SO5RyYJZUAI0aHkAkrF2p,2019-01-11,2019-01-18,0.261
3204,5,百年樹木,Hins Cheung,82904,2019-01-11--2019-01-18,hk,5ql4tlxS3GtADNsSRi2GnW,2019-01-11,2019-01-18,0.343
3205,6,Wow.,Post Malone,81132,2019-01-11--2019-01-18,hk,6MWtB6iiXyIwun0YzU6DFP,2019-01-11,2019-01-18,0.385
3206,7,Dancing With A Stranger (with Normani),Sam Smith,77011,2019-01-11--2019-01-18,hk,6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,2019-01-18,0.347
3207,8,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,66125,2019-01-11--2019-01-18,hk,3ayrHkyorPEpeOBvZ76SwG,2019-01-11,2019-01-18,0.341
3208,9,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,62051,2019-01-11--2019-01-18,hk,5JEx7HbmvHQQswJCsoo9rA,2019-01-11,2019-01-18,0.492
3209,10,Sweet but Psycho,Ava Max,61612,2019-01-11--2019-01-18,hk,25sgk305KZfyuqVBQIahim,2019-01-11,2019-01-18,0.628
3210,11,Saturday Nights,Khalid,61269,2019-01-11--2019-01-18,hk,5kfNriitmkNE8mUbZ7gbq8,2019-01-11,2019-01-18,0.341
3211,12,Shallow,Lady Gaga,60960,2019-01-11--2019-01-18,hk,2VxeLyX666F8uXCJ0dZF8B,2019-01-11,2019-01-18,0.323
3212,13,SOLO,JENNIE,59868,2019-01-11--2019-01-18,hk,2wVDWtLKXunswWecARNILj,2019-01-11,2019-01-18,0.388
3213,14,(一個男人) 一個女人 和浴室,Louis Koo,59728,2019-01-11--2019-01-18,hk,5NvsRbIoMFMqBAVFHn1f3X,2019-01-11,2019-01-18,0.467
3214,15,龍舌蘭,Eason Chan,57750,2019-01-11--2019-01-18,hk,2yJuzhRAp75De9QFcR0qXl,2019-01-11,2019-01-18,0.215
3215,16,認真如初,Jason Chan,49549,2019-01-11--2019-01-18,hk,2rdcqS9cMomMCHqtX3v7hM,2019-01-11,2019-01-18,0.32
3216,17,春秋,Hins Cheung,49193,2019-01-11--2019-01-18,hk,2WVbMoHdWCspdiEa7OnG1D,2019-01-11,2019-01-18,0.501
3217,18,High Hopes,Panic! At The Disco,49049,2019-01-11--2019-01-18,hk,1rqqCSm0Qe4I9rUvWncaom,2019-01-11,2019-01-18,0.681
3218,19,imagine,Ariana Grande,48145,2019-01-11--2019-01-18,hk,0todbbT9g5uQGbeFCiBf2F,2019-01-11,2019-01-18,0.376
3219,20,Hope,The Chainsmokers,46563,2019-01-11--2019-01-18,hk,4BiiOzZCrXEzHRLYcYFiD5,2019-01-11,2019-01-18,0.513
3220,21,裝睡的情人,Hins Cheung,46061,2019-01-11--2019-01-18,hk,5hdFOCoXHRbGEGF6A0IylT,2019-01-11,2019-01-18,0.38
3221,22,Lost in the Fire,Gesaffelstein,45980,2019-01-11--2019-01-18,hk,7wFybC8jBH3zE139OpCtpG,2019-01-11,2019-01-18,0.176
3222,23,"Fire On Fire - From ""Watership Down""",Sam Smith,45835,2019-01-11--2019-01-18,hk,5rFj8OzffT0iggSjcBaeND,2019-01-11,2019-01-18,0.341
3223,24,未來見,RubberBand,45799,2019-01-11--2019-01-18,hk,5OPqZ5dEqrdPGatJgnZ8xG,2019-01-11,2019-01-18,0.136
3224,25,Always Remember Us This Way,Lady Gaga,45142,2019-01-11--2019-01-18,hk,2rbDhOo9Fh61Bbu23T2qCk,2019-01-11,2019-01-18,0.296
3225,26,漸漸,Eason Chan,45017,2019-01-11--2019-01-18,hk,1o5PE9VNUd8EJtcYLA3QxP,2019-01-11,2019-01-18,0.29
3226,27,心之科學,Joey Yung,44613,2019-01-11--2019-01-18,hk,1gVMd7oYGo6Whlgg7pAa7M,2019-01-11,2019-01-18,0.252
3227,28,我們萬歲,Eason Chan,43493,2019-01-11--2019-01-18,hk,36zXp2vEis00HRdX3pYEMr,2019-01-11,2019-01-18,0.556
3228,29,勇悍・17,Juno Mak,43466,2019-01-11--2019-01-18,hk,58nDLotEOqoDorTkvz4tJf,2019-01-11,2019-01-18,0.486
3229,30,Bad Liar,Imagine Dragons,42008,2019-01-11--2019-01-18,hk,2RSHsoi04658QL5xgQVov3,2019-01-11,2019-01-18,0.0827
3230,31,Girls Like You (feat. Cardi B),Maroon 5,41367,2019-01-11--2019-01-18,hk,7fa9MBXhVfQ8P8Df9OEbD8,2019-01-11,2019-01-18,0.448
3231,32,一個女人和浴室,Kay Tse,41330,2019-01-11--2019-01-18,hk,4IxKTRZn3KQxj3dwwqbyGi,2019-01-11,2019-01-18,0.537
3232,33,Going Bad (feat. Drake),Meek Mill,40767,2019-01-11--2019-01-18,hk,2IRZnDFmlqMuOrYOLnZZyc,2019-01-11,2019-01-18,0.544
3233,34,永遠飛行模式,Dear Jane,40307,2019-01-11--2019-01-18,hk,5EIzOqZAhzahqfECAm68sY,2019-01-11,2019-01-18,0.342
3234,35,櫻花樹下,Hins Cheung,39669,2019-01-11--2019-01-18,hk,2FgDWCqMCIAATvqr9ozeYm,2019-01-11,2019-01-18,0.36
3235,36,Eastside (with Halsey & Khalid),benny blanco,38985,2019-01-11--2019-01-18,hk,7FGq80cy8juXBCD2nrqdWU,2019-01-11,2019-01-18,0.329
3236,37,Happier,Marshmello,38492,2019-01-11--2019-01-18,hk,2dpaYNEQHiRxtZbfNsse99,2019-01-11,2019-01-18,0.671
3237,38,Look Back at It,A Boogie Wit da Hoodie,38332,2019-01-11--2019-01-18,hk,3Ol2xnObFdKV9pmRD2t9x8,2019-01-11,2019-01-18,0.536
3238,39,Shape of You,Ed Sheeran,37803,2019-01-11--2019-01-18,hk,7qiZfU4dY1lWllzX7mPBI3,2019-01-11,2019-01-18,0.931
3239,40,Perfect,Ed Sheeran,37705,2019-01-11--2019-01-18,hk,0tgVpDi06FyKpA1z0VMD4v,2019-01-11,2019-01-18,0.168
3240,41,在月台上等你,Janice Vidal,37304,2019-01-11--2019-01-18,hk,4apKcYGPasaBCwmEVvGB0k,2019-01-11,2019-01-18,0.463
3241,42,說散就散,JC 陳泳彤,36988,2019-01-11--2019-01-18,hk,3CE1HoJJ0FVKo7JHsWIuvC,2019-01-11,2019-01-18,0.375
3242,43,Trampoline,SHAED,36341,2019-01-11--2019-01-18,hk,0lsRatBUs9HNIZAmoGABzk,2019-01-11,2019-01-18,0.537
3243,44,等你下課,Jay Chou,35723,2019-01-11--2019-01-18,hk,76WthWB0v0KXUHZoAclMVV,2019-01-11,2019-01-18,0.416
3244,45,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,35120,2019-01-11--2019-01-18,hk,6mQLN3zRtAp6ovjusyYKrV,2019-01-11,2019-01-18,0.571
3245,46,別𠱁我,JC 陳泳彤,35100,2019-01-11--2019-01-18,hk,6VeoA1vxx9dueepuakIbMr,2019-01-11,2019-01-18,0.417
3246,47,Havana (feat. Young Thug),Camila Cabello,34740,2019-01-11--2019-01-18,hk,1rfofaqEpACxVEHIZBJe6W,2019-01-11,2019-01-18,0.394
3247,48,Kiss and Make Up,Dua Lipa,34623,2019-01-11--2019-01-18,hk,13hvHEstJ4sNbzdroPrPI3,2019-01-11,2019-01-18,0.63
3248,49,告白氣球,Jay Chou,34012,2019-01-11--2019-01-18,hk,1ivCIgrYZyE0BvItL4Z8lk,2019-01-11,2019-01-18,0.448
3249,50,亂世情侶,Leo Ku,33980,2019-01-11--2019-01-18,hk,0n9AcvtAVZIhEfnZsBbELp,2019-01-11,2019-01-18,0.234
